concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
100.0,10.0,0.01,50.0,0.8,0.6987240044320319
100.0,10.0,0.01,50.0,3.0,2.6202150166201195
100.0,10.0,0.01,50.0,9.6,8.384688053184382
100.0,10.0,0.01,100.0,0.8,0.14420625998407555
100.0,10.0,0.01,100.0,3.0,0.5407734749402833
100.0,10.0,0.01,100.0,9.6,1.7304751198089066
100.0,10.0,0.03,1.0,0.8,4.707232239709036
100.0,10.0,0.03,1.0,3.0,17.652120898908883
100.0,10.0,0.03,1.0,9.6,56.48678687650843
100.0,10.0,0.03,5.0,0.8,3.4196819097617563
100.0,10.0,0.03,5.0,3.0,12.823807161606586
100.0,10.0,0.03,5.0,9.6,41.036182917141076
100.0,10.0,0.03,10.0,0.8,2.8651641653138
100.0,10.0,0.03,10.0,3.0,10.74436561992675
100.0,10.0,0.03,10.0,9.6,34.3819699837656
100.0,10.0,0.03,50.0,0.8,1.5776138353665197
100.0,10.0,0.03,50.0,3.0,5.916051882624449
100.0,10.0,0.03,50.0,9.6,18.931366024398233
100.0,10.0,0.03,100.0,0.8,1.0230960909185634
100.0,10.0,0.03,100.0,3.0,3.8366103409446124
100.0,10.0,0.03,100.0,9.6,12.27715309102276
100.0,10.0,0.1,1.0,0.8,5.6704104831697855
100.0,10.0,0.1,1.0,3.0,21.264039311886695
100.0,10.0,0.1,1.0,9.6,68.04492579803743
100.0,10.0,0.1,5.0,0.8,4.382860153222505
100.0,10.0,0.1,5.0,3.0,16.435725574584396
100.0,10.0,0.1,5.0,9.6,52.59432183867006
100.0,10.0,0.1,10.0,0.8,3.828342408774549
100.0,10.0,0.1,10.0,3.0,14.356284032904558
100.0,10.0,0.1,10.0,9.6,45.940108905294586
100.0,10.0,0.1,50.0,0.8,2.5407920788272684
100.0,10.0,0.1,50.0,3.0,9.527970295602255
100.0,10.0,0.1,50.0,9.6,30.48950494592722
100.0,10.0,0.1,100.0,0.8,1.9862743343793126
100.0,10.0,0.1,100.0,3.0,7.448528753922421
100.0,10.0,0.1,100.0,9.6,23.835292012551747
100.0,100.0,0.01,1.0,0.8,3.3043770553423286
100.0,100.0,0.01,1.0,3.0,12.391413957533732
